"Year","Adelaide","Australia"
"2001-04-01 00:00:00",5.6,6
"2001-07-01 00:00:00",5.9,6.1
"2001-10-01 00:00:00",2.2,2.5
"2002-01-01 00:00:00",3,3.1
"2002-04-01 00:00:00",2.7,3
"2002-07-01 00:00:00",2.9,2.8
"2002-10-01 00:00:00",3.7,3.2
"2003-01-01 00:00:00",3.6,2.9
"2003-04-01 00:00:00",4.9,3.3
"2003-07-01 00:00:00",3.8,2.6
"2003-10-01 00:00:00",3.7,2.6
"2004-01-01 00:00:00",3.2,2.4
"2004-04-01 00:00:00",2.2,2
"2004-07-01 00:00:00",2.9,2.5
"2004-10-01 00:00:00",2.5,2.3
"2005-01-01 00:00:00",2.6,2.5
"2005-04-01 00:00:00",2.2,2.4
"2005-07-01 00:00:00",2.2,2.5
"2005-10-01 00:00:00",3,3.1
"2006-01-01 00:00:00",2.7,2.8
"2006-04-01 00:00:00",3,2.9
"2006-07-01 00:00:00",3.7,4
"2006-10-01 00:00:00",3.8,4
"2007-01-01 00:00:00",3.1,3.3
"2007-04-01 00:00:00",1.9,2.5
"2007-07-01 00:00:00",1.7,2.1
"2007-10-01 00:00:00",1.4,1.8
"2008-01-01 00:00:00",2.8,2.9
"2008-04-01 00:00:00",4.4,4.3
"2008-07-01 00:00:00",4.6,4.4
"2008-10-01 00:00:00",5.1,5
"2009-01-01 00:00:00",3.7,3.7
"2009-04-01 00:00:00",2.3,2.4
"2009-07-01 00:00:00",1.5,1.4
"2009-10-01 00:00:00",1.3,1.2
"2010-01-01 00:00:00",2.1,2.1
"2010-04-01 00:00:00",2.6,2.9
"2010-07-01 00:00:00",2.8,3.1
"2010-10-01 00:00:00",2.7,2.9
"2011-01-01 00:00:00",2.6,2.8
"2011-04-01 00:00:00",3.7,3.3
"2011-07-01 00:00:00",3.9,3.5
"2011-10-01 00:00:00",4,3.4
"2012-01-01 00:00:00",3.6,3
"2012-04-01 00:00:00",1.8,1.6
"2012-07-01 00:00:00",1.2,1.2
"2012-10-01 00:00:00",1.7,2
"2013-01-01 00:00:00",2.1,2.2
"2013-04-01 00:00:00",2.2,2.5
"2013-07-01 00:00:00",2.1,2.4
"2013-10-01 00:00:00",2,2.2
"2014-01-01 00:00:00",2.3,2.7
"2014-04-01 00:00:00",2.9,2.9
"2014-07-01 00:00:00",3.1,3
"2014-10-01 00:00:00",2.1,2.3
"2015-01-01 00:00:00",1.7,1.7
"2015-04-01 00:00:00",1.1,1.3
"2015-07-01 00:00:00",1.2,1.5
"2015-10-01 00:00:00",1.1,1.5
"2016-01-01 00:00:00",1,1.7
"2016-04-01 00:00:00",0.7,1.3
"2016-07-01 00:00:00",0.7,1
"2016-10-01 00:00:00",1.2,1.3
"2017-01-01 00:00:00",1.3,1.5
"2017-04-01 00:00:00",2,2.1
"2017-07-01 00:00:00",1.6,1.9
"2017-10-01 00:00:00",1.8,1.8
"2018-01-01 00:00:00",2.3,1.9
"2018-04-01 00:00:00",2.3,1.9
"2018-07-01 00:00:00",2.7,2.1
"2018-10-01 00:00:00",1.8,1.9
"2019-01-01 00:00:00",1.6,1.8
"2019-04-01 00:00:00",1.3,1.3
"2019-07-01 00:00:00",1.4,1.6
"2019-10-01 00:00:00",1.9,1.7
"2020-01-01 00:00:00",2.1,1.8
"2020-04-01 00:00:00",2.4,2.2
"2020-07-01 00:00:00",0.8,-0.3
"2020-10-01 00:00:00",1,0.7
"2021-01-01 00:00:00",1,0.9
"2021-04-01 00:00:00",1.2,1.1
"2021-07-01 00:00:00",2.8,3.8
"2021-10-01 00:00:00",2.5,3
"2022-01-01 00:00:00",3.3,3.5
"2022-04-01 00:00:00",4.7,5.1
"2022-07-01 00:00:00",6.4,6.1
"2022-10-01 00:00:00",8.4,7.3
"2023-01-01 00:00:00",8.6,7.8
"2023-04-01 00:00:00",7.9,7
"2023-07-01 00:00:00",6.9,6
"2023-10-01 00:00:00",5.9,5.4
"2024-01-01 00:00:00",4.8,4.1
"2024-04-01 00:00:00",4.3,3.6
"2024-07-01 00:00:00",4.5,3.8
"2024-10-01 00:00:00",3.2,2.8
"2025-01-01 00:00:00",2.5,2.4
"2025-04-01 00:00:00",2.2,2.4
